Date,Open,Close,High,Low,Volume,code,Adj Close
2016-12-22,8.668,8.649,8.686,8.592,356371.0,600048,8.649
2016-12-23,8.63,8.592,8.649,8.564,275583.0,600048,8.592
2016-12-26,8.564,8.639,8.639,8.508,238974.0,600048,8.639
2016-12-27,8.639,8.686,8.799,8.611,375270.0,600048,8.686
2016-12-28,8.677,8.573,8.686,8.536,337927.0,600048,8.573
2016-12-29,8.564,8.555,8.583,8.536,369388.0,600048,8.555
2016-12-30,8.564,8.592,8.639,8.517,585876.0,600048,8.592
2017-01-03,8.583,8.649,8.668,8.545,349280.0,600048,8.649
2017-01-04,8.63,8.668,8.696,8.583,384206.0,600048,8.668
2017-01-05,8.677,8.649,8.733,8.639,353439.0,600048,8.649
2017-01-06,8.649,8.62,8.696,8.592,299801.0,600048,8.62
2017-01-09,8.611,8.639,8.668,8.602,198153.0,600048,8.639
2017-01-10,8.63,8.658,8.668,8.611,296687.0,600048,8.658
2017-01-11,8.658,8.592,8.658,8.592,232849.0,600048,8.592
2017-01-12,8.564,8.517,8.602,8.508,320319.0,600048,8.517
2017-01-13,8.564,8.564,8.658,8.517,413039.0,600048,8.564
2017-01-16,8.545,8.668,8.743,8.404,1206062.0,600048,8.668
2017-01-17,8.639,8.602,8.649,8.555,257881.0,600048,8.602
2017-01-18,8.611,8.63,8.686,8.583,230222.0,600048,8.63
2017-01-19,8.62,8.649,8.724,8.592,258369.0,600048,8.649
2017-01-20,8.639,8.724,8.743,8.62,344610.0,600048,8.724
2017-01-23,8.743,8.733,8.771,8.696,326855.0,600048,8.733
2017-01-24,8.733,8.668,8.743,8.63,446897.0,600048,8.668
2017-01-25,8.611,8.668,8.686,8.602,212856.0,600048,8.668
2017-01-26,8.677,8.677,8.705,8.649,227639.0,600048,8.677
2017-02-03,8.686,8.639,8.715,8.611,187001.0,600048,8.639
2017-02-06,8.639,8.62,8.639,8.573,269645.0,600048,8.62
2017-02-07,8.62,8.62,8.649,8.611,215418.0,600048,8.62
2017-02-08,8.63,8.743,8.752,8.583,446983.0,600048,8.743
2017-02-09,8.752,8.931,9.082,8.743,880056.0,600048,8.931
2017-02-10,8.931,8.912,8.997,8.846,377343.0,600048,8.912
2017-02-13,8.912,8.95,8.987,8.846,334923.0,600048,8.95
2017-02-14,8.94,8.959,8.978,8.903,214413.0,600048,8.959
2017-02-15,8.959,8.818,8.969,8.809,453662.0,600048,8.818
2017-02-16,8.818,8.893,8.912,8.79,299468.0,600048,8.893
2017-02-17,8.893,8.762,8.95,8.752,439588.0,600048,8.762
2017-02-20,8.771,9.016,9.035,8.762,670614.0,600048,9.016
2017-02-21,9.006,9.138,9.185,9.006,981326.0,600048,9.138
2017-02-22,9.1,9.119,9.157,9.063,453953.0,600048,9.119
2017-02-23,9.138,9.063,9.176,8.997,377404.0,600048,9.063
2017-02-24,9.025,9.016,9.063,8.903,377449.0,600048,9.016
2017-02-27,8.978,8.884,8.978,8.856,305669.0,600048,8.884
2017-02-28,8.884,8.912,8.95,8.875,195496.0,600048,8.912
2017-03-01,8.969,8.969,9.016,8.922,340511.0,600048,8.969
2017-03-02,8.978,8.875,9.006,8.865,243111.0,600048,8.875
2017-03-03,8.856,8.875,8.912,8.733,376967.0,600048,8.875
2017-03-06,8.856,8.912,8.95,8.837,287513.0,600048,8.912
2017-03-07,8.931,8.912,8.95,8.846,239667.0,600048,8.912
2017-03-08,8.931,9.016,9.091,8.903,569290.0,600048,9.016
2017-03-09,8.987,9.091,9.1,8.95,607752.0,600048,9.091
2017-03-10,9.063,9.063,9.204,9.044,432165.0,600048,9.063
2017-03-13,9.053,9.496,9.627,8.978,1911090.0,600048,9.496
2017-03-14,9.477,9.515,9.646,9.383,1103578.0,600048,9.515
2017-03-15,9.496,9.496,9.58,9.402,565665.0,600048,9.496
2017-03-16,9.515,9.411,9.609,9.355,879035.0,600048,9.411
2017-03-17,9.449,9.166,9.486,9.138,1166221.0,600048,9.166
2017-03-20,9.11,9.053,9.157,8.95,805498.0,600048,9.053
2017-03-21,9.063,9.166,9.204,9.006,635650.0,600048,9.166
2017-03-22,9.063,8.997,9.157,8.959,510636.0,600048,8.997
2017-03-23,9.006,9.082,9.195,8.987,516861.0,600048,9.082
2017-03-24,9.11,9.11,9.147,8.978,506663.0,600048,9.11
2017-03-27,9.1,9.091,9.166,9.035,343928.0,600048,9.091
2017-03-28,9.129,9.006,9.129,8.987,340193.0,600048,9.006
2017-03-29,9.006,8.931,9.044,8.912,451613.0,600048,8.931
2017-03-30,8.922,8.931,8.959,8.79,441096.0,600048,8.931
2017-03-31,8.893,8.969,9.016,8.837,320988.0,600048,8.969
2017-04-05,9.1,9.072,9.166,9.025,446628.0,600048,9.072
2017-04-06,9.072,9.11,9.129,9.016,401157.0,600048,9.11
2017-04-07,9.129,9.11,9.166,9.025,420521.0,600048,9.11
2017-04-10,9.11,9.223,9.317,9.044,662238.0,600048,9.223
2017-04-11,9.204,9.298,9.364,9.006,871504.0,600048,9.298
2017-04-12,9.411,9.402,9.571,9.298,1080449.0,600048,9.402
2017-04-13,9.355,9.326,9.364,9.166,583174.0,600048,9.326
2017-04-14,9.26,9.307,9.317,9.176,455691.0,600048,9.307
2017-04-17,9.251,9.27,9.298,9.147,376518.0,600048,9.27
2017-04-18,9.232,9.035,9.242,9.025,578515.0,600048,9.035
2017-04-19,9.006,9.063,9.1,8.959,321680.0,600048,9.063
2017-04-20,9.035,9.091,9.1,8.978,305608.0,600048,9.091
2017-04-21,9.091,9.147,9.195,9.063,362313.0,600048,9.147
2017-04-24,9.147,9.213,9.223,8.987,687009.0,600048,9.213
2017-04-25,9.185,9.176,9.242,9.138,336840.0,600048,9.176
2017-04-26,9.185,9.119,9.232,9.1,256157.0,600048,9.119
2017-04-27,9.091,8.987,9.1,8.771,541403.0,600048,8.987
2017-04-28,8.94,8.865,8.959,8.799,655006.0,600048,8.865
2017-05-02,8.837,8.809,8.846,8.762,230645.0,600048,8.809
2017-05-03,8.809,8.809,8.837,8.733,250315.0,600048,8.809
2017-05-04,8.78,8.799,8.818,8.762,214960.0,600048,8.799
2017-05-05,8.799,8.809,8.828,8.639,769762.0,600048,8.809
2017-05-08,8.743,8.78,8.912,8.573,1115123.0,600048,8.78
2017-05-09,8.743,8.771,8.78,8.705,274613.0,600048,8.771
2017-05-10,8.743,8.63,8.799,8.602,284746.0,600048,8.63
2017-05-11,8.611,8.639,8.705,8.545,329023.0,600048,8.639
2017-05-12,8.611,8.649,8.696,8.573,321908.0,600048,8.649
2017-05-15,8.639,8.715,8.743,8.611,352436.0,600048,8.715
2017-05-16,8.686,8.733,8.762,8.611,457589.0,600048,8.733
2017-05-17,8.705,8.668,8.743,8.649,256793.0,600048,8.668
2017-05-18,8.62,8.677,8.733,8.602,221851.0,600048,8.677
2017-05-19,8.686,8.771,8.79,8.658,300853.0,600048,8.771
2017-05-22,8.771,8.762,8.846,8.686,335067.0,600048,8.762
2017-05-23,8.771,8.79,8.856,8.705,339599.0,600048,8.79
2017-05-24,8.771,8.828,8.856,8.715,288132.0,600048,8.828
2017-05-25,8.856,9.138,9.176,8.856,1108044.0,600048,9.138
2017-05-26,9.129,9.006,9.213,8.978,547920.0,600048,9.006
2017-05-31,9.317,9.119,9.402,9.1,744223.0,600048,9.119
2017-06-01,9.119,9.185,9.364,9.11,572144.0,600048,9.185
2017-06-02,9.147,9.157,9.307,9.091,446414.0,600048,9.157
2017-06-05,9.157,9.119,9.185,9.025,361167.0,600048,9.119
2017-06-06,9.11,9.251,9.317,9.082,498507.0,600048,9.251
2017-06-07,9.223,9.279,9.336,9.176,852995.0,600048,9.279
2017-06-08,9.289,9.458,9.477,9.242,992372.0,600048,9.458
2017-06-09,9.487,9.399,9.574,9.331,788531.0,600048,9.399
2017-06-12,9.399,9.399,9.642,9.341,910565.0,600048,9.399
2017-06-13,9.341,9.399,9.467,9.312,439680.0,600048,9.399
2017-06-14,9.351,9.157,9.38,9.127,750870.0,600048,9.157
2017-06-15,9.157,9.147,9.176,9.04,424590.0,600048,9.147
2017-06-16,9.127,9.118,9.157,9.079,313895.0,600048,9.118
2017-06-19,9.108,9.176,9.215,9.089,316059.0,600048,9.176
2017-06-20,9.166,9.108,9.244,9.069,328290.0,600048,9.108
2017-06-21,9.157,9.322,9.351,9.069,730752.0,600048,9.322
2017-06-22,9.283,9.331,9.574,9.225,1225474.0,600048,9.331
2017-06-23,9.302,9.7,9.759,9.273,1590219.0,600048,9.7
2017-06-26,9.749,9.943,10.147,9.691,2603555.0,600048,9.943
2017-06-27,9.943,9.875,9.943,9.768,788260.0,600048,9.875
2017-06-28,9.846,9.729,9.914,9.72,658580.0,600048,9.729
2017-06-29,9.768,9.778,9.856,9.652,600015.0,600048,9.778
2017-06-30,9.739,9.681,9.749,9.652,480465.0,600048,9.681
2017-07-03,9.72,9.885,9.924,9.681,710710.0,600048,9.885
2017-07-04,9.885,9.603,9.895,9.564,693208.0,600048,9.603
2017-07-05,9.613,9.759,9.778,9.496,595139.0,600048,9.759
2017-07-06,9.71,9.564,9.729,9.555,526685.0,600048,9.564
2017-07-07,9.564,9.933,9.953,9.545,1080042.0,600048,9.933
2017-07-10,9.895,10.05,10.409,9.856,1382666.0,600048,10.05
2017-07-11,10.021,10.089,10.322,10.001,961475.0,600048,10.089
2017-07-12,10.069,10.069,10.293,9.982,921462.0,600048,10.069
2017-07-13,10.001,10.176,10.215,9.972,651657.0,600048,10.176
2017-07-14,10.205,10.565,10.574,10.098,1156259.0,600048,10.565
2017-07-17,10.603,10.351,10.72,10.302,1266611.0,600048,10.351
2017-07-18,10.302,10.574,10.632,10.293,999154.0,600048,10.574
2017-07-19,10.448,10.516,10.613,10.341,1068231.0,600048,10.516
2017-07-20,10.458,10.856,10.943,10.458,1292276.0,600048,10.856
2017-07-21,10.827,10.652,10.895,10.516,1041903.0,600048,10.652
2017-07-24,10.594,10.429,10.671,10.37,865021.0,600048,10.429
2017-07-25,10.37,10.244,10.409,10.166,721395.0,600048,10.244
2017-07-26,10.273,10.069,10.331,10.001,893197.0,600048,10.069
2017-07-27,10.06,10.176,10.234,9.992,748563.0,600048,10.176
2017-07-28,10.147,10.312,10.38,10.118,621721.0,600048,10.312
2017-07-31,10.312,10.205,10.38,10.089,644610.0,600048,10.205
2017-08-01,10.215,10.273,10.341,10.176,475039.0,600048,10.273
2017-08-02,10.264,9.904,10.331,9.885,872776.0,600048,9.904
2017-08-03,9.904,9.836,9.972,9.739,686682.0,600048,9.836
2017-08-04,9.827,9.797,9.943,9.759,696984.0,600048,9.797
2017-08-07,9.807,9.788,9.836,9.691,499105.0,600048,9.788
2017-08-08,9.797,9.778,9.846,9.691,596876.0,600048,9.778
2017-08-09,9.797,9.895,9.924,9.768,582766.0,600048,9.895
2017-08-10,9.875,9.895,9.914,9.71,509886.0,600048,9.895
2017-08-11,9.807,9.555,9.875,9.516,684842.0,600048,9.555
2017-08-14,9.574,9.603,9.642,9.516,584037.0,600048,9.603
2017-08-15,9.594,9.603,9.691,9.545,359242.0,600048,9.603
2017-08-16,9.613,9.603,9.652,9.526,275778.0,600048,9.603
2017-08-17,9.594,9.691,9.71,9.564,369381.0,600048,9.691
2017-08-18,9.652,9.817,9.846,9.623,546118.0,600048,9.817
2017-08-21,9.768,9.827,9.875,9.759,360743.0,600048,9.827
2017-08-22,10.04,9.963,10.225,9.914,906425.0,600048,9.963
2017-08-23,9.933,9.885,10.03,9.856,439310.0,600048,9.885
2017-08-24,9.875,9.817,9.904,9.759,315906.0,600048,9.817
2017-08-25,9.788,9.963,9.982,9.788,424567.0,600048,9.963
2017-08-28,9.992,10.079,10.176,9.924,743555.0,600048,10.079
2017-08-29,10.089,9.982,10.128,9.963,321919.0,600048,9.982
2017-08-30,10.05,10.108,10.176,10.03,627520.0,600048,10.108
2017-08-31,10.079,10.011,10.157,9.972,371150.0,600048,10.011
2017-09-01,10.001,9.914,10.04,9.807,678829.0,600048,9.914
2017-09-04,9.895,9.982,10.021,9.856,352273.0,600048,9.982
2017-09-05,9.943,10.215,10.244,9.943,790207.0,600048,10.215
2017-09-06,10.157,10.186,10.254,10.098,461818.0,600048,10.186
2017-09-07,10.254,10.584,10.798,10.244,1889732.0,600048,10.584
2017-09-08,10.584,10.739,10.885,10.429,1198734.0,600048,10.739
2017-09-11,10.827,10.584,10.904,10.467,1026657.0,600048,10.584
2017-09-12,10.565,10.399,10.642,10.322,794992.0,600048,10.399
2017-09-13,10.399,10.419,10.555,10.361,691984.0,600048,10.419
2017-09-14,10.419,10.992,11.001,10.409,1990892.0,600048,10.992
2017-09-15,10.972,11.312,11.652,10.924,2336594.0,600048,11.312
2017-09-18,11.37,11.118,11.701,11.05,1821343.0,600048,11.118
2017-09-19,11.176,11.254,11.662,11.128,1824444.0,600048,11.254
2017-09-20,11.244,10.963,11.293,10.934,1233089.0,600048,10.963
2017-09-21,11.001,11.001,11.157,10.924,904678.0,600048,11.001
2017-09-22,10.992,10.982,11.196,10.885,660406.0,600048,10.982
2017-09-25,10.691,10.264,10.71,10.225,1586831.0,600048,10.264
2017-09-26,10.283,10.341,10.477,10.234,538439.0,600048,10.341
2017-09-27,10.399,10.458,10.467,10.273,477418.0,600048,10.458
2017-09-28,10.458,10.137,10.477,10.108,835400.0,600048,10.137
2017-09-29,10.176,10.098,10.225,10.03,501572.0,600048,10.098
2017-10-09,10.39,10.234,10.506,10.215,1109989.0,600048,10.234
2017-10-10,10.283,10.157,10.322,10.098,779299.0,600048,10.157
2017-10-11,10.186,10.137,10.283,10.069,747032.0,600048,10.137
2017-10-12,10.147,10.021,10.147,9.933,784082.0,600048,10.021
2017-10-13,10.021,9.972,10.079,9.943,656982.0,600048,9.972
2017-10-16,10.011,9.885,10.04,9.875,575364.0,600048,9.885
2017-10-17,9.875,9.924,9.953,9.846,400655.0,600048,9.924
2017-10-18,9.924,9.953,9.972,9.885,412372.0,600048,9.953
2017-10-19,9.963,9.963,10.06,9.904,572950.0,600048,9.963
2017-10-20,9.972,10.069,10.069,9.924,413278.0,600048,10.069
2017-10-23,10.069,10.186,10.234,10.011,677982.0,600048,10.186
2017-10-24,10.341,10.487,10.574,10.225,1273236.0,600048,10.487
2017-10-25,10.516,10.545,10.827,10.487,976386.0,600048,10.545
2017-10-26,10.497,10.331,10.632,10.254,1173307.0,600048,10.331
2017-10-27,10.39,10.331,10.603,10.205,1294170.0,600048,10.331
2017-10-30,10.312,10.458,10.467,10.225,1268822.0,600048,10.458
2017-10-31,10.477,10.574,10.603,10.361,970244.0,600048,10.574
2017-11-01,10.594,10.458,10.885,10.399,1738450.0,600048,10.458
2017-11-02,10.39,10.516,10.574,10.341,835856.0,600048,10.516
2017-11-03,10.487,10.351,10.516,10.128,998392.0,600048,10.351
2017-11-06,10.273,10.079,10.331,9.982,822979.0,600048,10.079
2017-11-07,10.108,10.137,10.225,10.03,832642.0,600048,10.137
2017-11-08,10.079,10.176,10.293,10.079,716415.0,600048,10.176
2017-11-09,10.176,10.322,10.351,10.147,508740.0,600048,10.322
2017-11-10,10.361,10.137,10.39,10.079,836336.0,600048,10.137
2017-11-13,10.128,10.021,10.225,9.982,844226.0,600048,10.021
